1;azucenas;blanco;descripcion de azucenas blancas
2;azucenas;rojo;descripcion de azucenas rojas
3;azucenas;rosa;descripcion de azucenas de color rosa
4;azucenas;amarillo;descripcion de azucenas amarillas
5;azucenas;violeta;descripcion de azucenas de color violeta
6;margaritas;blanco;descripcion de margaritas blancas
7;margaritas;rojo;descripcion de margaritas rojas
8;margaritas;rosa;descripcion de margaritas de color rosa
9;margaritas;amarillo;descripcion de margaritas amarillas
10;margaritas;violeta;descripcion de margaritas de color violeta
11;violetas;blanco;descripcion de violetas blancas
12;violetas;rojo;descripcion de violetas rojas
13;violetas;rosa;descripcion de violetas de color rosa
14;violetas;amarillo;descripcion de violetas amarillas
15;violetas;violeta;descripcion de violetas de color violeta
16;lirios;blanco;descripcion de lirios blancos
17;lirios;rojo;descripcion de lirios rojos
18;lirios;rosa;descripcion de lirios de color rosa
19;lirios;amarillo;descripcion de lirios amarillos
20;lirios;violeta;descripcion de lirios de color violeta
21;rosas;blanco;descripcion de rosas blancas
22;rosas;rojo;descripcion de rosas rojas
23;rosas;rosa;descripcion de rosas de color rosa
24;rosas;amarillo;descripcion de rosas amarillas
25;rosas;violeta;descripcion de rosas de color violeta
26;gardenias;blanco;descripcion de gardenias blancas
27;gardenias;rojo;descripcion de gardenias rojas
28;gardenias;rosa;descripcion de gardenias de color rosa
29;gardenias;amarillo;descripcion de gardenias amarillas
30;gardenias;violeta;descripcion de gardenias de color violeta
